tpep_pickup_datetime,tip_amount,Number_of_fares,is_weekend,is_holiday
2022-02-01 00:00:00,1.11,59,0,0
2022-02-01 04:00:00,2.21,18,0,0
2022-02-01 08:00:00,2.48,90,0,0
2022-02-01 12:00:00,2.07,122,0,0
2022-02-01 16:00:00,2.26,200,0,0
2022-02-01 20:00:00,2.26,292,0,0
2022-02-02 00:00:00,2.16,71,0,0
2022-02-02 04:00:00,2.97,26,0,0
2022-02-02 08:00:00,2.26,91,0,0
2022-02-02 12:00:00,2.0,151,0,0
2022-02-02 16:00:00,2.26,207,0,0
2022-02-02 20:00:00,2.28,358,0,0
2022-02-03 00:00:00,2.26,116,0,0
2022-02-03 04:00:00,2.48,21,0,0
2022-02-03 08:00:00,2.16,121,0,0
2022-02-03 12:00:00,2.0,160,0,0
2022-02-03 16:00:00,2.25,231,0,0
2022-02-03 20:00:00,2.26,385,0,0
2022-02-04 00:00:00,2.18,304,0,0
2022-02-04 04:00:00,1.86,39,0,0
2022-02-04 08:00:00,2.0,104,0,0
2022-02-04 12:00:00,1.86,171,0,0
2022-02-04 16:00:00,2.16,258,0,0
2022-02-04 20:00:00,2.26,600,0,0
2022-02-05 00:00:00,2.26,649,1,0
2022-02-05 04:00:00,2.11,46,1,0
2022-02-05 08:00:00,1.98,92,1,0
2022-02-05 12:00:00,2.16,345,1,0
2022-02-05 16:00:00,2.16,554,1,0
2022-02-05 20:00:00,2.56,658,1,0
2022-02-06 00:00:00,2.26,678,1,0
2022-02-06 04:00:00,1.9,70,1,0
2022-02-06 08:00:00,2.0,80,1,0
2022-02-06 12:00:00,2.06,241,1,0
2022-02-06 16:00:00,2.06,273,1,0
2022-02-06 20:00:00,2.2,204,1,0
2022-02-07 00:00:00,2.0,41,0,0
2022-02-07 04:00:00,2.62,22,0,0
2022-02-07 08:00:00,2.05,85,0,0
2022-02-07 12:00:00,2.0,142,0,0
2022-02-07 16:00:00,2.25,174,0,0
2022-02-07 20:00:00,2.26,217,0,0
2022-02-08 00:00:00,2.41,44,0,0
2022-02-08 04:00:00,2.36,29,0,0
2022-02-08 08:00:00,2.0,131,0,0
2022-02-08 12:00:00,2.0,145,0,0
2022-02-08 16:00:00,2.26,244,0,0
2022-02-08 20:00:00,2.33,395,0,0
2022-02-09 00:00:00,2.26,101,0,0
2022-02-09 04:00:00,2.56,28,0,0
2022-02-09 08:00:00,2.41,126,0,0
2022-02-09 12:00:00,2.05,157,0,0
2022-02-09 16:00:00,2.26,267,0,0
2022-02-09 20:00:00,2.41,432,0,0
2022-02-10 00:00:00,2.16,140,0,0
2022-02-10 04:00:00,2.2,28,0,0
2022-02-10 08:00:00,2.15,111,0,0
2022-02-10 12:00:00,2.36,191,0,0
2022-02-10 16:00:00,2.16,318,0,0
2022-02-10 20:00:00,2.36,503,0,0
2022-02-11 00:00:00,2.25,339,0,0
2022-02-11 04:00:00,2.06,32,0,0
2022-02-11 08:00:00,2.16,120,0,0
2022-02-11 12:00:00,2.06,205,0,0
2022-02-11 16:00:00,2.28,373,0,0
2022-02-11 20:00:00,2.26,579,0,0
2022-02-12 00:00:00,2.35,689,1,0
2022-02-12 04:00:00,1.84,66,1,0
2022-02-12 08:00:00,1.96,104,1,0
2022-02-12 12:00:00,2.16,375,1,0
2022-02-12 16:00:00,2.36,485,1,0
2022-02-12 20:00:00,2.34,601,1,0
2022-02-13 00:00:00,2.31,618,1,0
2022-02-13 04:00:00,2.1,64,1,0
2022-02-13 08:00:00,2.0,74,1,0
2022-02-13 12:00:00,2.0,226,1,0
2022-02-13 16:00:00,2.08,264,1,0
2022-02-13 20:00:00,2.06,261,1,0
2022-02-14 00:00:00,2.02,76,0,0
2022-02-14 04:00:00,2.48,27,0,0
2022-02-14 08:00:00,2.16,118,0,0
2022-02-14 12:00:00,2.0,164,0,0
2022-02-14 16:00:00,2.16,286,0,0
2022-02-14 20:00:00,2.33,387,0,0
2022-02-15 00:00:00,2.25,108,0,0
2022-02-15 04:00:00,2.1,38,0,0
2022-02-15 08:00:00,2.45,105,0,0
2022-02-15 12:00:00,2.06,161,0,0
2022-02-15 16:00:00,2.16,274,0,0
2022-02-15 20:00:00,2.16,368,0,0
2022-02-16 00:00:00,2.06,92,0,0
2022-02-16 04:00:00,2.36,27,0,0
2022-02-16 08:00:00,2.09,120,0,0
2022-02-16 12:00:00,2.16,193,0,0
2022-02-16 16:00:00,2.33,265,0,0
2022-02-16 20:00:00,2.32,415,0,0
2022-02-17 00:00:00,2.06,129,0,0
2022-02-17 04:00:00,3.12,28,0,0
2022-02-17 08:00:00,2.0,115,0,0
2022-02-17 12:00:00,2.06,201,0,0
2022-02-17 16:00:00,2.36,303,0,0
2022-02-17 20:00:00,2.2,457,0,0
2022-02-18 00:00:00,2.26,225,0,0
2022-02-18 04:00:00,2.0,43,0,0
2022-02-18 08:00:00,2.0,126,0,0
2022-02-18 12:00:00,2.06,212,0,0
2022-02-18 16:00:00,2.26,377,0,0
2022-02-18 20:00:00,2.26,601,0,0
2022-02-19 00:00:00,2.26,717,1,0
2022-02-19 04:00:00,2.03,52,1,0
2022-02-19 08:00:00,2.0,106,1,0
2022-02-19 12:00:00,2.16,314,1,0
2022-02-19 16:00:00,2.06,505,1,0
2022-02-19 20:00:00,2.3,687,1,0
2022-02-20 00:00:00,2.36,734,1,0
2022-02-20 04:00:00,2.0,62,1,0
2022-02-20 08:00:00,2.04,74,1,0
2022-02-20 12:00:00,2.08,267,1,0
2022-02-20 16:00:00,2.16,378,1,0
2022-02-20 20:00:00,2.26,374,1,0
2022-02-21 00:00:00,2.25,213,0,0
2022-02-21 04:00:00,2.2,40,0,0
2022-02-21 08:00:00,2.06,87,0,0
2022-02-21 12:00:00,2.05,209,0,0
2022-02-21 16:00:00,2.0,309,0,0
2022-02-21 20:00:00,2.16,255,0,0
2022-02-22 00:00:00,2.67,65,0,0
2022-02-22 04:00:00,1.69,20,0,0
2022-02-22 08:00:00,2.12,101,0,0
2022-02-22 12:00:00,2.26,184,0,0
2022-02-22 16:00:00,2.14,224,0,0
2022-02-22 20:00:00,2.41,292,0,0
2022-02-23 00:00:00,2.2,65,0,0
2022-02-23 04:00:00,1.75,37,0,0
2022-02-23 08:00:00,2.26,114,0,0
2022-02-23 12:00:00,2.0,166,0,0
2022-02-23 16:00:00,2.27,306,0,0
2022-02-23 20:00:00,2.33,460,0,0
2022-02-24 00:00:00,2.2,159,0,0
2022-02-24 04:00:00,2.0,39,0,0
2022-02-24 08:00:00,2.26,109,0,0
2022-02-24 12:00:00,2.0,192,0,0
2022-02-24 16:00:00,2.15,299,0,0
2022-02-24 20:00:00,2.36,469,0,0
2022-02-25 00:00:00,2.08,326,0,0
2022-02-25 04:00:00,2.0,34,0,0
2022-02-25 08:00:00,2.0,114,0,0
2022-02-25 12:00:00,2.36,169,0,0
2022-02-25 16:00:00,2.26,299,0,0
2022-02-25 20:00:00,2.16,626,0,0
2022-02-26 00:00:00,2.26,700,1,0
2022-02-26 04:00:00,2.56,56,1,0
2022-02-26 08:00:00,1.92,108,1,0
2022-02-26 12:00:00,2.2,308,1,0
2022-02-26 16:00:00,2.16,550,1,0
2022-02-26 20:00:00,2.45,619,1,0
2022-02-27 00:00:00,2.34,618,1,0
2022-02-27 04:00:00,2.03,82,1,0
2022-02-27 08:00:00,1.98,84,1,0
2022-02-27 12:00:00,2.2,257,1,0
2022-02-27 16:00:00,2.06,286,1,0
2022-02-27 20:00:00,2.25,271,1,0
2022-02-28 00:00:00,1.76,69,0,0
2022-02-28 04:00:00,2.35,27,0,0
2022-02-28 08:00:00,2.0,102,0,0
2022-02-28 12:00:00,2.0,155,0,0
2022-02-28 16:00:00,2.35,207,0,0
2022-02-28 20:00:00,2.26,265,0,0
2022-01-24 00:00:00,2.02,60,0,0
2022-01-24 04:00:00,2.41,22,0,0
2022-01-24 08:00:00,2.06,112,0,0
2022-01-24 12:00:00,2.06,126,0,0
2022-01-24 16:00:00,2.33,172,0,0
2022-01-24 20:00:00,2.15,164,0,0
2022-01-25 00:00:00,2.0,61,0,0
2022-01-25 04:00:00,2.41,22,0,0
2022-01-25 08:00:00,1.88,92,0,0
2022-01-25 12:00:00,1.96,167,0,0
2022-01-25 16:00:00,2.16,167,0,0
2022-01-25 20:00:00,2.16,286,0,0
2022-01-26 00:00:00,2.52,65,0,0
2022-01-26 04:00:00,2.58,19,0,0
2022-01-26 08:00:00,2.05,110,0,0
2022-01-26 12:00:00,2.06,175,0,0
2022-01-26 16:00:00,2.36,197,0,0
2022-01-26 20:00:00,2.15,351,0,0
2022-01-27 00:00:00,2.3,107,0,0
2022-01-27 04:00:00,2.16,23,0,0
2022-01-27 08:00:00,2.0,102,0,0
2022-01-27 12:00:00,2.0,149,0,0
2022-01-27 16:00:00,2.1,204,0,0
2022-01-27 20:00:00,2.26,479,0,0
2022-01-28 00:00:00,2.22,285,0,0
2022-01-28 04:00:00,1.95,31,0,0
2022-01-28 08:00:00,2.16,110,0,0
2022-01-28 12:00:00,2.0,168,0,0
2022-01-28 16:00:00,2.25,271,0,0
2022-01-28 20:00:00,2.26,407,0,0
2022-01-29 00:00:00,2.25,135,1,0
2022-01-29 04:00:00,2.95,13,1,0
2022-01-29 08:00:00,2.45,15,1,0
2022-01-29 12:00:00,1.93,44,1,0
2022-01-29 16:00:00,2.05,147,1,0
2022-01-29 20:00:00,2.36,265,1,0
2022-01-30 00:00:00,2.16,161,1,0
2022-01-30 04:00:00,2.56,34,1,0
2022-01-30 08:00:00,1.86,61,1,0
2022-01-30 12:00:00,2.0,206,1,0
2022-01-30 16:00:00,2.06,254,1,0
2022-01-30 20:00:00,2.17,218,1,0
2022-01-31 00:00:00,2.38,44,0,0
2022-01-31 04:00:00,2.02,28,0,0
2022-01-31 08:00:00,2.46,80,0,0
2022-01-31 12:00:00,2.02,120,0,0
2022-01-31 16:00:00,2.26,187,0,0
2022-01-31 20:00:00,2.16,215,0,0
2022-02-28 20:00:00,2.65,2,0,0
2022-03-01 00:00:00,2.03,72,0,0
2022-03-01 04:00:00,2.5,36,0,0
2022-03-01 08:00:00,2.05,100,0,0
2022-03-01 12:00:00,2.2,164,0,0
2022-03-01 16:00:00,2.25,255,0,0
2022-03-01 20:00:00,2.46,345,0,0
2022-03-02 00:00:00,2.16,99,0,0
2022-03-02 04:00:00,2.15,35,0,0
2022-03-02 08:00:00,2.16,144,0,0
2022-03-02 12:00:00,2.16,189,0,0
2022-03-02 16:00:00,2.26,296,0,0
2022-03-02 20:00:00,2.46,438,0,0
2022-03-03 00:00:00,2.12,151,0,0
2022-03-03 04:00:00,2.14,31,0,0
2022-03-03 08:00:00,2.25,121,0,0
2022-03-03 12:00:00,2.16,195,0,0
2022-03-03 16:00:00,2.26,324,0,0
2022-03-03 20:00:00,2.36,530,0,0
2022-03-04 00:00:00,2.3,332,0,0
2022-03-04 04:00:00,2.76,61,0,0
2022-03-04 08:00:00,2.11,118,0,0
2022-03-04 12:00:00,2.18,200,0,0
2022-03-04 16:00:00,2.26,339,0,0
2022-03-04 20:00:00,2.45,621,0,0
2022-03-05 00:00:00,2.25,816,1,0
2022-03-05 04:00:00,1.71,60,1,0
2022-03-05 08:00:00,1.96,87,1,0
2022-03-05 12:00:00,2.2,301,1,0
2022-03-05 16:00:00,2.16,484,1,0
2022-03-05 20:00:00,2.46,577,1,0
2022-03-06 00:00:00,2.3,613,1,0
2022-03-06 04:00:00,2.0,49,1,0
2022-03-06 08:00:00,1.95,84,1,0
2022-03-06 12:00:00,2.0,210,1,0
2022-03-06 16:00:00,2.12,290,1,0
2022-03-06 20:00:00,2.36,258,1,0
2022-03-07 00:00:00,2.16,69,0,0
2022-03-07 04:00:00,2.41,34,0,0
2022-03-07 08:00:00,2.06,97,0,0
2022-03-07 12:00:00,2.06,179,0,0
2022-03-07 16:00:00,2.35,193,0,0
2022-03-07 20:00:00,2.46,269,0,0
2022-03-08 00:00:00,2.0,84,0,0
2022-03-08 04:00:00,2.36,35,0,0
2022-03-08 08:00:00,2.16,121,0,0
2022-03-08 12:00:00,2.0,166,0,0
2022-03-08 16:00:00,2.36,279,0,0
2022-03-08 20:00:00,2.46,370,0,0
2022-03-09 00:00:00,2.46,99,0,0
2022-03-09 04:00:00,2.08,33,0,0
2022-03-09 08:00:00,2.06,173,0,0
2022-03-09 12:00:00,2.07,180,0,0
2022-03-09 16:00:00,2.26,265,0,0
2022-03-09 20:00:00,2.35,431,0,0
2022-03-10 00:00:00,2.26,136,0,0
2022-03-10 04:00:00,2.36,40,0,0
2022-03-10 08:00:00,2.16,146,0,0
2022-03-10 12:00:00,2.15,214,0,0
2022-03-10 16:00:00,2.35,316,0,0
2022-03-10 20:00:00,2.45,537,0,0
2022-03-11 00:00:00,2.16,327,0,0
2022-03-11 04:00:00,2.37,45,0,0
2022-03-11 08:00:00,2.3,111,0,0
2022-03-11 12:00:00,2.26,242,0,0
2022-03-11 16:00:00,2.46,408,0,0
2022-03-11 20:00:00,2.36,555,0,0
2022-03-12 00:00:00,2.24,656,1,0
2022-03-12 04:00:00,2.0,83,1,0
2022-03-12 08:00:00,2.0,134,1,0
2022-03-12 12:00:00,2.06,310,1,0
2022-03-12 16:00:00,2.0,417,1,0
2022-03-12 20:00:00,2.26,667,1,0
2022-03-13 00:00:00,2.35,518,1,0
2022-03-13 04:00:00,2.55,71,1,0
2022-03-13 08:00:00,2.0,81,1,0
2022-03-13 12:00:00,2.16,285,1,0
2022-03-13 16:00:00,2.16,374,1,0
2022-03-13 20:00:00,2.26,252,1,0
2022-03-14 00:00:00,2.57,83,0,1
2022-03-14 04:00:00,2.47,32,0,1
2022-03-14 08:00:00,2.33,102,0,1
2022-03-14 12:00:00,1.78,146,0,1
2022-03-14 16:00:00,2.06,234,0,1
2022-03-14 20:00:00,2.15,267,0,1
2022-03-15 00:00:00,2.0,83,0,1
2022-03-15 04:00:00,2.2,41,0,1
2022-03-15 08:00:00,2.25,113,0,1
2022-03-15 12:00:00,2.06,162,0,1
2022-03-15 16:00:00,2.46,290,0,1
2022-03-15 20:00:00,2.36,392,0,1
2022-03-16 00:00:00,2.25,140,0,1
2022-03-16 04:00:00,2.52,41,0,1
