tpep_pickup_datetime,tip_amount,Number_of_fares,is_weekend,is_holiday
2022-02-01,2.25,781,0,0
2022-02-02,2.26,904,0,0
2022-02-03,2.2,1034,0,0
2022-02-04,2.16,1476,0,0
2022-02-05,2.26,2344,1,0
2022-02-06,2.16,1546,1,0
2022-02-07,2.16,681,0,0
2022-02-08,2.25,988,0,0
2022-02-09,2.32,1111,0,0
2022-02-10,2.26,1291,0,0
2022-02-11,2.26,1648,0,0
2022-02-12,2.26,2320,1,0
2022-02-13,2.15,1507,1,0
2022-02-14,2.2,1058,0,0
2022-02-15,2.16,1054,0,0
2022-02-16,2.25,1112,0,0
2022-02-17,2.16,1233,0,0
2022-02-18,2.22,1584,0,0
2022-02-19,2.2,2381,1,0
2022-02-20,2.26,1889,1,0
2022-02-21,2.07,1113,0,0
2022-02-22,2.26,886,0,0
2022-02-23,2.26,1148,0,0
2022-02-24,2.16,1267,0,0
2022-02-25,2.16,1568,0,0
2022-02-26,2.26,2341,1,0
2022-02-27,2.25,1598,1,0
2022-02-28,2.16,825,0,0
2022-01-24,2.16,656,0,0
2022-01-25,2.06,795,0,0
2022-01-26,2.19,917,0,0
2022-01-27,2.16,1064,0,0
2022-01-28,2.2,1272,0,0
2022-01-29,2.16,619,1,0
2022-01-30,2.06,934,1,0
2022-01-31,2.25,674,0,0
2022-02-28,2.65,2,0,0
2022-03-01,2.26,972,0,0
2022-03-02,2.26,1201,0,0
2022-03-03,2.26,1352,0,0
2022-03-04,2.35,1671,0,0
2022-03-05,2.26,2325,1,0
2022-03-06,2.2,1504,1,0
2022-03-07,2.26,841,0,0
2022-03-08,2.26,1055,0,0
2022-03-09,2.26,1181,0,0
2022-03-10,2.33,1389,0,0
2022-03-11,2.35,1688,0,0
2022-03-12,2.16,2267,1,0
2022-03-13,2.2,1581,1,0
2022-03-14,2.08,864,0,1
2022-03-15,2.34,1081,0,1
2022-03-16,2.25,1259,0,1
2022-03-17,2.26,1283,0,1
