tpep_pickup_datetime,tip_amount,Number_of_fares,is_weekend,is_holiday
2022-02-01 00:00:00,2.06,167,0,0
2022-02-01 12:00:00,2.26,614,0,0
2022-02-02 00:00:00,2.36,188,0,0
2022-02-02 12:00:00,2.25,716,0,0
2022-02-03 00:00:00,2.26,258,0,0
2022-02-03 12:00:00,2.2,776,0,0
2022-02-04 00:00:00,2.15,447,0,0
2022-02-04 12:00:00,2.16,1029,0,0
2022-02-05 00:00:00,2.26,787,1,0
2022-02-05 12:00:00,2.35,1557,1,0
2022-02-06 00:00:00,2.25,828,1,0
2022-02-06 12:00:00,2.08,718,1,0
2022-02-07 00:00:00,2.05,148,0,0
2022-02-07 12:00:00,2.16,533,0,0
2022-02-08 00:00:00,2.06,204,0,0
2022-02-08 12:00:00,2.26,784,0,0
2022-02-09 00:00:00,2.46,255,0,0
2022-02-09 12:00:00,2.26,856,0,0
2022-02-10 00:00:00,2.16,279,0,0
2022-02-10 12:00:00,2.26,1012,0,0
2022-02-11 00:00:00,2.16,491,0,0
2022-02-11 12:00:00,2.26,1157,0,0
2022-02-12 00:00:00,2.16,859,1,0
2022-02-12 12:00:00,2.26,1461,1,0
2022-02-13 00:00:00,2.26,756,1,0
2022-02-13 12:00:00,2.06,751,1,0
2022-02-14 00:00:00,2.16,221,0,0
2022-02-14 12:00:00,2.25,837,0,0
2022-02-15 00:00:00,2.33,251,0,0
2022-02-15 12:00:00,2.16,803,0,0
2022-02-16 00:00:00,2.15,239,0,0
2022-02-16 12:00:00,2.26,873,0,0
2022-02-17 00:00:00,2.06,272,0,0
2022-02-17 12:00:00,2.26,961,0,0
2022-02-18 00:00:00,2.16,394,0,0
2022-02-18 12:00:00,2.25,1190,0,0
2022-02-19 00:00:00,2.21,875,1,0
2022-02-19 12:00:00,2.2,1506,1,0
2022-02-20 00:00:00,2.28,870,1,0
2022-02-20 12:00:00,2.2,1019,1,0
2022-02-21 00:00:00,2.16,340,0,0
2022-02-21 12:00:00,2.06,773,0,0
2022-02-22 00:00:00,2.25,186,0,0
2022-02-22 12:00:00,2.26,700,0,0
2022-02-23 00:00:00,2.16,216,0,0
2022-02-23 12:00:00,2.26,932,0,0
2022-02-24 00:00:00,2.2,307,0,0
2022-02-24 12:00:00,2.16,960,0,0
2022-02-25 00:00:00,2.06,474,0,0
2022-02-25 12:00:00,2.25,1094,0,0
2022-02-26 00:00:00,2.26,864,1,0
