tpep_pickup_datetime,tip_amount,Number_of_fares
2022-02-01 00:00:00,2.05,22
2022-02-01 00:30:00,1.11,7
2022-02-01 01:00:00,0.0,9
2022-02-01 01:30:00,1.74,12
2022-02-01 02:00:00,0.0,1
2022-02-01 02:30:00,0.0,1
2022-02-01 03:00:00,0.0,2
2022-02-01 03:30:00,2.0,5
2022-02-01 04:00:00,1.5,1
2022-02-01 04:30:00,,0
2022-02-01 05:00:00,2.16,1
2022-02-01 05:30:00,0.0,1
2022-02-01 06:00:00,18.0,1
2022-02-01 06:30:00,3.0,4
2022-02-01 07:00:00,1.13,4
2022-02-01 07:30:00,3.16,6
2022-02-01 08:00:00,2.27,8
2022-02-01 08:30:00,2.96,12
2022-02-01 09:00:00,2.58,22
2022-02-01 09:30:00,2.36,11
2022-02-01 10:00:00,1.0,9
2022-02-01 10:30:00,2.06,7
2022-02-01 11:00:00,2.5,10
2022-02-01 11:30:00,3.3,11
2022-02-01 12:00:00,2.0,13
2022-02-01 12:30:00,1.5,17
2022-02-01 13:00:00,1.92,23
2022-02-01 13:30:00,1.66,16
2022-02-01 14:00:00,2.48,16
2022-02-01 14:30:00,3.38,10
2022-02-01 15:00:00,2.36,13
2022-02-01 15:30:00,2.76,14
2022-02-01 16:00:00,3.06,8
2022-02-01 16:30:00,2.09,20
2022-02-01 17:00:00,2.56,29
2022-02-01 17:30:00,2.26,27
2022-02-01 18:00:00,2.53,30
2022-02-01 18:30:00,2.03,28
2022-02-01 19:00:00,2.06,25
2022-02-01 19:30:00,2.22,33
2022-02-01 20:00:00,2.46,32
2022-02-01 20:30:00,2.46,38
2022-02-01 21:00:00,2.24,42
2022-02-01 21:30:00,2.16,41
2022-02-01 22:00:00,2.26,41
2022-02-01 22:30:00,2.46,41
2022-02-01 23:00:00,2.0,31
2022-02-01 23:30:00,2.08,26
2022-02-02 00:00:00,1.86,21
2022-02-02 00:30:00,2.08,20
2022-02-02 01:00:00,2.0,12
2022-02-02 01:30:00,1.38,6
2022-02-02 02:00:00,1.28,4
2022-02-02 02:30:00,4.0,4
2022-02-02 03:00:00,2.36,3
2022-02-02 03:30:00,3.66,1
2022-02-02 04:00:00,0.0,1
2022-02-02 04:30:00,4.35,1
2022-02-02 05:00:00,0.0,2
2022-02-02 05:30:00,2.36,1
2022-02-02 06:00:00,2.22,2
2022-02-02 06:30:00,,0
2022-02-02 07:00:00,2.94,5
